entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt#Acceptance,Source,Class,acceptance,"In the context of a conference, ""acceptance"" typically refers to the formal approval or selection of a submitted paper, presentation, or proposal to be included in the conference program. It indicates that the submission has met the necessary criteria and standards set by the conference organizers or review committee and will be part of the event's official schedule.","Sure, here are the triples verbalized into phrases:

1. ""Acceptance"" is a subclass of ""Decision"".
2. ""Acceptance"" is disjoint with ""Rejection"".
3. ""Rejection"" is disjoint with ""Acceptance""."
http://cmt#Administrator,Source,Class,administrator,"In the context of a conference, an ""Administrator"" typically refers to an individual responsible for organizing, managing, and overseeing the logistical and operational aspects of the event. This can include tasks such as coordinating schedules, handling registrations, managing communications with speakers and attendees, arranging venues and accommodations, and ensuring that the conference runs smoothly. The Administrator plays a crucial role in ensuring that all elements of the conference are well-coordinated and executed efficiently.","Sure, here are the triples verbalized into phrases:

1. The action ""acceptPaper"" is performed by an ""Administrator"".
2. The action ""acceptedBy"" involves an ""Administrator"".
3. The action ""addProgramCommitteeMember"" is performed by an ""Administrator"".
4. The action ""addedBy"" involves an ""Administrator"".
5. The action ""assignReviewer"" is performed by an ""Administrator"".
6. The action ""assignedByAdministrator"" involves an ""Administrator"".
7. The action ""detailsEnteredBy"" involves an ""Administrator"".
8. The action ""enableVirtualMeeting"" is performed by an ""Administrator"".
9. The action ""enterConferenceDetails"" is performed by an ""Administrator"".
10. The action ""enterReviewCriteria"" is performed by an ""Administrator"".
11. The action ""finalizePaperAssignment"" is performed by an ""Administrator"".
12. The action ""hardcopyMailingManifestsPrintedBy"" involves an ""Administrator"".
13. The action ""paperAssignmentFinalizedBy"" involves an ""Administrator"".
14. The action ""paperAssignmentToolsRunBy"" involves an ""Administrator"".
15. The action ""printHardcopyMailingManifests"" is performed by an ""Administrator"".
16. The action ""rejectPaper"" is performed by an ""Administrator"".
17. The action ""rejectedBy"" involves an ""Administrator"".
18. The action ""reviewCriteriaEnteredBy"" involves an ""Administrator"".
19. The action ""reviewerBiddingStartedBy"" involves an ""Administrator"".
20. The action ""runPaperAssignmentTools"" is performed by an ""Administrator"".
21. The action ""setMaxPapers"" is performed by an ""Administrator"".
22. The action ""startReviewerBidding"" is performed by an ""Administrator"".
23. The action ""virtualMeetingEnabledBy"" involves an ""Administrator"".
24. An ""Administrator"" is a subclass of ""User""."
http://cmt#AssociatedChair,Source,Class,associated chair,"In the context of a conference, an ""Associated Chair"" typically refers to a person who assists the main chair or head of a specific track, session, or committee. The Associated Chair helps in organizing, coordinating, and managing various aspects of the conference, such as reviewing submissions, scheduling sessions, and ensuring smooth operations during the event. They play a supportive role to ensure the conference runs efficiently and effectively.","Sure, here are the triples verbalized into phrases:

1. The class ""AssociatedChair"" is a subclass of the class ""ConferenceMember"".
2. The class ""AssociatedChair"" is disjoint with the class ""ConferenceChair"".
3. The class ""ConferenceChair"" is disjoint with the class ""AssociatedChair""."
http://cmt#Author,Source,Class,author,"In the context of a conference, an ""author"" typically refers to an individual who has written a paper, article, or study that is being presented or discussed at the event. This person is responsible for the research and content of the work and is often the one who presents their findings to the conference attendees.","Sure, here are the triples verbalised into phrases:

1. ""AuthorNotReviewer"" is a subclass of ""Author"".
2. ""Co-author"" is a subclass of ""Author"".
3. The property ""hasAuthor"" has a range of ""Author"".
4. The property ""submitPaper"" has a domain of ""Author"".
5. The property ""writePaper"" has a domain of ""Author"".
6. ""Author"" is a subclass of ""ConferenceMember"" and ""User""."
http://cmt#AuthorNotReviewer,Source,Class,author not reviewer,"In the context of a conference, ""AuthorNotReviewer"" typically refers to a policy or rule indicating that an individual who has submitted a paper or work to the conference (an author) is not allowed to participate in the review process for that same conference. This is to prevent any conflicts of interest and to ensure the integrity and impartiality of the review process.","Sure, here are the triples verbalized into phrases:

1. ""ProgramCommitteeMember"" is disjoint with ""AuthorNotReviewer"".
2. ""Reviewer"" is disjoint with ""AuthorNotReviewer"".
3. ""AuthorNotReviewer"" is a subclass of ""Author"".
4. ""AuthorNotReviewer"" is disjoint with ""ProgramCommitteeMember"".
5. ""AuthorNotReviewer"" is disjoint with ""Reviewer""."
http://cmt#Bid,Source,Class,bid,"In the context of a conference, a ""bid"" typically refers to a formal proposal submitted by a city, organization, or venue to host the conference. This proposal usually includes details such as the location, facilities, accommodations, and other logistical aspects that would support the successful execution of the event. The bid is evaluated by the conference organizers or a selection committee, who then decide which proposal best meets the needs and goals of the conference.","Sure, here are the triples verbalized into phrases:

1. The range of ""adjustBid"" is ""Bid"".
2. The domain of ""adjustedBy"" is ""Bid"".
3. The range of ""hasBid"" is ""Bid"".
4. ""Conference"" is disjoint with ""Bid"".
5. ""Decision"" is disjoint with ""Bid"".
6. ""Document"" is disjoint with ""Bid"".
7. ""Person"" is disjoint with ""Bid"".
8. ""Preference"" is disjoint with ""Bid"".
9. ""ProgramCommittee"" is disjoint with ""Bid"".
10. ""Bid"" is disjoint with ""Conference"", ""Decision"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#Chairman,Source,Class,chairman,"In the context of a conference, the term ""Chairman"" refers to the person who presides over the conference, leading and facilitating the discussions, managing the agenda, and ensuring that the conference proceedings run smoothly. The Chairman is responsible for maintaining order, guiding the conversation, and often making key decisions regarding the flow of the event.","The class ""Chairman"" is a subclass of the class ""Person""."
http://cmt#Co-author,Source,Class,co author,"In the context of a conference, a ""co-author"" refers to an individual who has collaborated with one or more other researchers or scholars in the creation of a research paper, presentation, or other academic work that is being presented at the conference. Co-authors share responsibility for the content and findings of the work and are typically listed as contributors in the publication or presentation materials.","Sure, here are the triples verbalized into phrases:

1. The property ""co-writePaper"" has a domain of ""Co-author"".
2. The property ""hasCo-author"" has a range of ""Co-author"".
3. The class ""Co-author"" is a subclass of ""Author""."
http://cmt#Conference,Source,Class,conference,"In the context of ""conference,"" the term generally refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative activities. Conferences can be held in various fields such as business, education, science, technology, and more, and they often include presentations, workshops, and networking opportunities.","Sure, here are the triples verbalized into phrases:

1. The property ""acceptsHardcopySubmissions"" has a domain of ""Conference"".
2. The property ""date"" has a domain of ""Conference"".
3. The property ""detailsEnteredBy"" has a domain of ""Conference"".
4. The property ""enableVirtualMeeting"" has a range of ""Conference"".
5. The property ""enterConferenceDetails"" has a range of ""Conference"".
6. The property ""enterReviewCriteria"" has a range of ""Conference"".
7. The property ""finalizePaperAssignment"" has a range of ""Conference"".
8. The property ""hardcopyMailingManifestsPrintedBy"" has a domain of ""Conference"".
9. The property ""hasConferenceMember"" has a domain of ""Conference"".
10. The property ""logoURL"" has a domain of ""Conference"".
11. The property ""memberOfConference"" has a range of ""Conference"".
12. The property ""paperAssignmentFinalizedBy"" has a domain of ""Conference"".
13. The property ""paperAssignmentToolsRunBy"" has a domain of ""Conference"".
14. The property ""printHardcopyMailingManifests"" has a range of ""Conference"".
15. The property ""reviewCriteriaEnteredBy"" has a domain of ""Conference"".
16. The property ""reviewerBiddingStartedBy"" has a domain of ""Conference"".
17. The property ""reviewsPerPaper"" has a domain of ""Conference"".
18. The property ""runPaperAssignmentTools"" has a range of ""Conference"".
19. The property ""siteURL"" has a domain of ""Conference"".
20. The property ""startReviewerBidding"" has a range of ""Conference"".
21. The property ""virtualMeetingEnabledBy"" has a domain of ""Conference"".
22. The class ""Bid"" is disjoint with the class ""Conference"".
23. The class ""Decision"" is disjoint with the class ""Conference"".
24. The class ""Document"" is disjoint with the class ""Conference"".
25. The class ""Person"" is disjoint with the class ""Conference"".
26. The class ""Preference"" is disjoint with the class ""Conference"".
27. The class ""ProgramCommittee"" is disjoint with the class ""Conference"".
28. The class ""Conference"" is disjoint with the classes ""Bid"", ""Decision"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#ConferenceChair,Source,Class,conference chair,"In the context of a conference, a ""Conference Chair"" refers to the individual who is responsible for overseeing and organizing the entire event. This person typically handles a wide range of tasks, including planning the conference agenda, coordinating with speakers and participants, managing logistics, and ensuring that the conference runs smoothly. The Conference Chair plays a crucial role in the success of the event, often working closely with a team to address various aspects such as venue selection, scheduling, and communication with attendees.","Sure, here are the triples verbalized into phrases:

1. ""AssociatedChair"" is disjoint with ""ConferenceChair"".
2. ""ConferenceChair"" is a subclass of ""ConferenceMember"".
3. ""ConferenceChair"" is disjoint with ""AssociatedChair""."
