Entity2,Entity1
http://ekaw#Abstract,http://conference#Abstract
http://ekaw#Accepted_Paper,http://conference#Accepted_contribution
http://ekaw#Accepted_Paper,http://conference#Paper
http://ekaw#Conference,http://conference#Conference
http://ekaw#Conference_Paper,http://conference#Paper
http://ekaw#Conference_Participant,http://conference#Conference_participant
http://ekaw#Conference_Proceedings,http://conference#Conference_proceedings
http://ekaw#Contributed_Talk,http://conference#Submitted_contribution
http://ekaw#Invited_Speaker,http://conference#Invited_speaker
http://ekaw#Invited_Talk,http://conference#Invited_talk
http://ekaw#OC_Chair,http://conference#Organizing_committee
http://ekaw#OC_Member,http://conference#Committee_member
http://ekaw#Organisation,http://conference#Organization
http://ekaw#PC_Member,http://conference#Program_committee
http://ekaw#Paper,http://conference#Paper
http://ekaw#Paper_Author,http://conference#Regular_author
http://ekaw#Person,http://conference#Person
http://ekaw#Possible_Reviewer,http://conference#Person
http://ekaw#Proceedings,http://conference#Conference_proceedings
http://ekaw#Proceedings_Publisher,http://conference#Publisher
http://ekaw#Rejected_Paper,http://conference#Rejected_contribution
http://ekaw#Review,http://conference#Review
http://ekaw#Scientific_Event,http://conference#Conference
http://ekaw#Student,http://conference#Person
http://ekaw#Submitted_Paper,http://conference#Submitted_contribution
http://ekaw#Track,http://conference#Track
http://ekaw#Tutorial,http://conference#Tutorial
http://ekaw#Workshop,http://conference#Workshop
http://ekaw#organisedBy,http://conference#has_an_organizing_committee
http://ekaw#paperInVolume,http://conference#belong_to_a_conference_volume
http://ekaw#presentationOfPaper,http://conference#gives_presentations
http://ekaw#publisherOf,http://conference#has_a_publisher
http://ekaw#volumeContainsPaper,http://conference#is_part_of_conference_volumes
