Entity1,Entity2
http://thesauri.dainst.org/_1adf0150,https://ark.frantiq.fr/ark:/26678/pcrtpbgzj4c0da
http://thesauri.dainst.org/_2c06eae5,https://ark.frantiq.fr/ark:/26678/pcrtJUwAaZ7Nz9
http://thesauri.dainst.org/_3ec72d64,https://ark.frantiq.fr/ark:/26678/pcrt7UXeYrS8Nb
http://thesauri.dainst.org/_49462e56,https://ark.frantiq.fr/ark:/26678/pcrtVmQTWhdSkJ
http://thesauri.dainst.org/_4ad4d541,https://ark.frantiq.fr/ark:/26678/pcrtKei7jxhn32
http://thesauri.dainst.org/_68e1bd31,https://ark.frantiq.fr/ark:/26678/pcrt1FD59O4eTz
http://thesauri.dainst.org/_83c2619f,https://ark.frantiq.fr/ark:/26678/pcrtJUwAaZ7Nz9
http://thesauri.dainst.org/_a1f36e1b,https://ark.frantiq.fr/ark:/26678/pcrt7UXeYrS8Nb
http://thesauri.dainst.org/_a9e10cab,https://ark.frantiq.fr/ark:/26678/pcrtp5Wcpmp9I3
http://thesauri.dainst.org/_af2f2dad,https://ark.frantiq.fr/ark:/26678/pcrtVgXu5JJGUg
http://thesauri.dainst.org/_ca4273ea,https://ark.frantiq.fr/ark:/26678/pcrtD19Y1kxWR4
http://thesauri.dainst.org/_d3b9f438,https://ark.frantiq.fr/ark:/26678/pcrtKZYwYOkWlK
http://thesauri.dainst.org/_dafb0ad8,https://ark.frantiq.fr/ark:/26678/pcrtfOjLfceAZ0
http://thesauri.dainst.org/_f09b41b4,https://ark.frantiq.fr/ark:/26678/pcrt0Krn6QJlhU
