Entity2,Entity1
http://edas#AcademicEvent,http://confOf#Event
http://edas#Attendee,http://confOf#Participant
http://edas#Author,http://confOf#Author
http://edas#Conference,http://confOf#Conference
http://edas#ConferenceDinner,http://confOf#Banquet
http://edas#ConferenceEvent,http://confOf#Event
http://edas#Country,http://confOf#Country
http://edas#Excursion,http://confOf#Trip
http://edas#Organization,http://confOf#Organization
http://edas#Paper,http://confOf#Paper
http://edas#Person,http://confOf#Person
http://edas#PublishedPaper,http://confOf#Paper
http://edas#Reception,http://confOf#Reception
http://edas#Review,http://confOf#Reviewing_event
http://edas#SocialEvent,http://confOf#Social_event
http://edas#TPCMember,http://confOf#Member_PC
http://edas#TalkEvent,http://confOf#Event
http://edas#Topic,http://confOf#Topic
http://edas#Workshop,http://confOf#Workshop
http://edas#hasCall,http://confOf#hasPhone
http://edas#hasCity,http://confOf#hasCity
http://edas#hasCountry,http://confOf#hasCountry
http://edas#hasEmail,http://confOf#hasEmail
http://edas#hasFirstName,http://confOf#hasFirstName
http://edas#hasLastName,http://confOf#hasSurname
http://edas#hasPhone,http://confOf#hasPhone
http://edas#hasPostalCode,http://confOf#hasPostalCode
http://edas#hasStreet,http://confOf#hasStreet
http://edas#hasTopic,http://confOf#hasTopic
http://edas#isWrittenBy,http://confOf#writtenBy
