Entity1,Entity2
source:Conference_participant,target:Attendee
source:Person,target:Person
source:Reviewer,target:Reviewer
source:Organization,target:Organization
source:Program_committee,target:Programme
source:Conference,target:Conference
source:Call_for_paper,target:CallForPapers
source:Paper,target:Paper
source:Invited_talk,target:TalkEvent
source:Chair,target:SessionChair
source:Workshop,target:Workshop
source:Rejected_contribution,target:RejectedPaper
source:Review,target:Review
source:Topic,target:Topic
source:has_a_submitted_contribution,target:hasSubmissionInstructions
source:invites_co-reviewers,target:isReviewedBy
source:has_members,target:hasMember
source:is_given_by,target:providedBy
source:has_a_track-workshop-tutorial_topic,target:hasTopic
source:has_a_program_committee,target:hasProgramme
source:belong_to_a_conference_volume,target:belongsToEvent
source:has_a_location,target:hasLocation
source:has_an_email,target:hasEmail
source:has_the_first_name,target:hasFirstName
source:has_a_name,target:hasName
source:has_the_last_name,target:hasLastName
source:is_an_ending_date,target:endDate
source:is_a_starting_date,target:startDate
