entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://conference#Abstract,Source,Class,abstract,"In the context of a conference, an ""abstract"" is a brief summary of a research paper, presentation, or study that is submitted for consideration. It typically includes the main objectives, methods, results, and conclusions of the work. The abstract allows conference organizers and attendees to quickly understand the essence of the research and decide its relevance and interest to the conference themes.","Sure, here are the triples verbalised into phrases:

1. The property ""has_an_abstract"" has a range of ""Abstract"".
2. The property ""is_the_1th_part_of"" has a domain of ""Abstract"".
3. The class ""Abstract"" is a subclass of ""Extended_abstract""."
http://conference#Accepted_contribution,Source,Class,accepted contribution,"In the context of a conference, ""Accepted_contribution"" refers to a research paper, presentation, poster, or any other form of scholarly work that has been submitted by an individual or group and has been reviewed and approved by the conference organizers or review committee for inclusion in the conference program. This means that the contribution meets the standards and criteria set by the conference and will be presented or displayed during the event.","Sure, here are the triples verbalised into phrases:

1. ""Camera_ready_contribution"" is a subclass of ""Accepted_contribution"".
2. ""Rejected_contribution"" is disjoint with ""Accepted_contribution"".
3. ""Accepted_contribution"" is a subclass of ""Reviewed_contribution"".
4. ""Accepted_contribution"" is disjoint with ""Rejected_contribution"".The subgraph describes a class named ""Reviewed_contribution"" which is equivalent to another class represented by a blank node. This equivalent class is defined as a union of two types of contributions: ""Accepted_contribution"" and ""Rejected_contribution"". The union is represented by a list where ""Accepted_contribution"" is the first element and ""Rejected_contribution"" is the second element, with the list terminating in ""nil""."
http://conference#Active_conference_participant,Source,Class,active conference participant,"In the context of a conference, an ""Active_conference_participant"" refers to an individual who is actively engaged in the conference activities. This can include attending sessions, participating in discussions, asking questions, contributing to workshops, and networking with other attendees. Active participants are typically more involved and contribute to the overall dynamic and success of the conference by sharing their insights, experiences, and knowledge.","Sure, here are the triples verbalised into phrases:

1. The property ""gives_presentations"" has a domain of ""Active_conference_participant"".
2. The property ""is_given_by"" has a range of ""Active_conference_participant"".
3. ""Passive_conference_participant"" is disjoint with ""Active_conference_participant"".
4. ""Active_conference_participant"" is a subclass of both ""Conference_contributor"" and ""Conference_participant"".
5. ""Active_conference_participant"" is disjoint with ""Passive_conference_participant"".The class ""Conference_participant"" is defined as the union of ""Active_conference_participant"" and ""Passive_conference_participant"". 

An ""Active_conference_participant"" is further defined as the union of ""Invited_speaker"" and ""Regular_author"". 

Therefore, a ""Conference_participant"" can be either an ""Active_conference_participant"" or a ""Passive_conference_participant"". 

Additionally, ""Active_conference_participant"" is a subclass of a class that is the union of ""Invited_speaker"" and ""Regular_author""."
http://conference#Call_for_paper,Source,Class,call for paper,"In the context of a conference, a ""Call for Papers"" (CFP) is an invitation issued by the conference organizers for researchers, scholars, and professionals to submit their research papers, abstracts, or proposals for presentation at the conference. The CFP typically includes details about the conference themes, submission guidelines, important dates, and the review process. It serves as a formal request for contributions that align with the conference's topics and objectives.","The class ""Call for paper"" is a subclass of the class ""Conference document""."
http://conference#Call_for_participation,Source,Class,call for participation,"In the context of a conference, a ""Call for Participation"" (CFP) is an announcement or invitation issued by the conference organizers to solicit contributions from potential participants. This can include calls for research papers, presentations, workshops, panel discussions, posters, and other forms of participation. The CFP typically outlines the themes or topics of interest, submission guidelines, important dates, and any other relevant information that potential contributors need to know in order to submit their work for consideration. The goal is to encourage a diverse range of high-quality submissions that will contribute to the success and richness of the conference program.","The class ""Call for participation"" is a subclass of ""Conference document""."
http://conference#Camera_ready_contribution,Source,Class,camera ready contribution,"In the context of a conference, a ""camera-ready contribution"" refers to the final version of a paper or presentation that is ready to be published in the conference proceedings. This version has typically undergone peer review and any necessary revisions. It must adhere to the formatting and submission guidelines specified by the conference organizers. The term ""camera-ready"" implies that the document is in its final form, free of errors, and formatted correctly, so it can be directly used for printing or digital distribution without further modification.","The class ""Camera_ready_contribution"" is a subclass of the class ""Accepted_contribution""."
http://conference#Chair,Source,Class,chair,"In the context of a conference, the term ""Chair"" refers to the person who presides over the conference or a specific session within the conference. This individual is responsible for guiding the discussions, ensuring that the agenda is followed, managing the time allocated for each speaker, and facilitating questions and interactions among participants. The Chair plays a crucial role in maintaining the flow and order of the conference proceedings.","Sure, here are the triples verbalised into phrases:

1. The property ""has_a_committee_chair"" has a range of ""Chair"".
2. The property ""was_a_committee_chair_of"" has a domain of ""Chair"".
3. The class ""Chair"" is a subclass of ""Committee_member"".The subgraph describes that the class ""Chair"" is equivalent to a restriction. This restriction specifies that the property ""was_a_committee_chair_of"" must have some values from the class ""Committee"". In other words, a ""Chair"" is defined as someone who has been a chair of some committee."
http://conference#Co-chair,Source,Class,co chair,"In the context of a conference, a ""Co-chair"" refers to an individual who shares the responsibilities of leading and organizing the event with one or more other individuals. Co-chairs work collaboratively to oversee various aspects of the conference, such as planning the agenda, coordinating speakers, managing logistics, and ensuring the event runs smoothly. The role of a co-chair is to provide support and share the workload, ensuring that the conference is successful and well-organized.","Sure, here are the triples verbalized into phrases:

1. The property ""has_a_committee_co-chair"" has a range of ""Co-chair"".
2. The property ""was_a_committee_co-chair_of"" has a domain of ""Co-chair"".
3. The class ""Co-chair"" is a subclass of ""Committee_member"".The class ""Co-chair"" is equivalent to a restriction that involves being a co-chair of a committee. Specifically, this restriction indicates that the role of ""Co-chair"" is defined by the property ""was a committee co-chair of"" and is associated with some values from the class ""Committee""."
http://conference#Committee,Source,Class,committee,"In the context of a conference, a ""committee"" refers to a group of individuals who are appointed or elected to perform specific tasks related to the planning, organization, and execution of the conference. This can include responsibilities such as selecting speakers, organizing sessions, managing logistics, handling registrations, and ensuring the overall smooth operation of the event. The committee works collaboratively to ensure that the conference meets its objectives and provides value to its attendees.","1. An Organizing Committee is a subclass of a Committee.
2. A Program Committee is a subclass of a Committee.
3. A Steering Committee is a subclass of a Committee.
4. The property ""has a committee chair"" applies to instances of a Committee.
5. The property ""has a committee co-chair"" applies to instances of a Committee.
6. The property ""has a committee"" points to instances of a Committee.
7. The property ""has members"" applies to instances of a Committee.
8. The property ""was a committee co-chair of"" points to instances of a Committee.
9. The property ""was a committee chair of"" points to instances of a Committee.
10. The property ""was a committee of"" applies to instances of a Committee.
11. The property ""was a member of"" points to instances of a Committee.The given subgraph can be described in natural language as follows:

1. **Committee** is defined as a union of the following types of committees:
   - **Organizing Committee**
   - **Program Committee**
   - **Steering Committee**

2. A **Committee Member** is someone who has a restriction on the property **was a member of** a **Committee**.

3. A **Chair** is someone who has a restriction on the property **was a committee chair of** a **Committee**.

4. A **Co-chair** is someone who has a restriction on the property **was a committee co-chair of** a **Committee**.

5. The class **Committee** is equivalent to the union of **Organizing Committee**, **Program Committee**, and **Steering Committee**.

In summary, the subgraph defines the relationships and equivalences between different types of committee roles and the committees they are associated with."
http://conference#Committee_member,Source,Class,committee member,"In the context of a conference, a ""committee member"" refers to an individual who is part of a group responsible for organizing, planning, and overseeing various aspects of the conference. This can include tasks such as selecting speakers, arranging schedules, managing logistics, and ensuring the event runs smoothly. Committee members typically collaborate to make decisions and contribute their expertise to ensure the success of the conference.","Sure, here are the triples verbalised into phrases:

1. A ""Chair"" is a subclass of ""Committee member"".
2. A ""Co-chair"" is a subclass of ""Committee member"".
3. The property ""has members"" has a range of ""Committee member"".
4. The property ""was a member of"" has a domain of ""Committee member"".
5. A ""Committee member"" is a subclass of ""Person"".The given subgraph can be described in natural language as follows:

There is a class named ""Organizer"" which is a subclass of another class. This other class is defined as a union of two elements: ""Organization"" and ""Committee_member"". The ""Committee_member"" class is equivalent to a restriction that specifies it is a member of a ""Committee"". This restriction is defined by the property ""was_a_member_of"" and it applies to some values from the class ""Committee"". The union class and its elements are organized in a list structure where ""Organization"" is the first element, followed by ""Committee_member"", and the list ends with ""nil""."
