Entity1,Entity2
http://edas#AcademiaOrganization,http://ekaw#Academic_Institution
http://edas#AcceptedPaper,http://ekaw#Accepted_Paper
http://edas#Conference,http://ekaw#Conference
http://edas#ConferenceChair,http://ekaw#OC_Chair
http://edas#ConferenceEvent,http://ekaw#Event
http://edas#ConferenceSession,http://ekaw#Conference_Session
http://edas#Document,http://ekaw#Document
http://edas#Organization,http://ekaw#Organisation
http://edas#Paper,http://ekaw#Paper
http://edas#Person,http://ekaw#Person
http://edas#Place,http://ekaw#Location
http://edas#Presenter,http://ekaw#Presenter
http://edas#RejectedPaper,http://ekaw#Rejected_Paper
http://edas#Review,http://ekaw#Review
http://edas#Reviewer,http://ekaw#Possible_Reviewer
http://edas#SessionChair,http://ekaw#Session_Chair
http://edas#SocialEvent,http://ekaw#Social_Event
http://edas#TPCMember,http://ekaw#PC_Member
http://edas#TalkEvent,http://ekaw#Invited_Talk
http://edas#Topic,http://ekaw#Research_Topic
http://edas#Workshop,http://ekaw#Workshop
http://edas#belongsToEvent,http://ekaw#partOfEvent
http://edas#hasTopic,http://ekaw#coversTopic
http://edas#isLocationOf,http://ekaw#locationOf
http://edas#isWrittenBy,http://ekaw#writtenBy
