entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt#Acceptance,Source,Class,acceptance,"In the context of a conference, ""acceptance"" typically refers to the formal approval or selection of a submitted paper, presentation, or proposal to be included in the conference program. This means that the organizing committee has reviewed the submission and determined that it meets the standards and criteria for participation in the event.","Sure, here are the triples verbalized into spoken language:

1. ""Acceptance"" is a subclass of ""Decision"".
2. ""Acceptance"" is disjoint with ""Rejection"".
3. ""Rejection"" is disjoint with ""Acceptance""."
http://cmt#Administrator,Source,Class,administrator,"In the context of a conference, an ""Administrator"" typically refers to an individual responsible for organizing, managing, and overseeing the logistical and operational aspects of the event. This can include tasks such as coordinating schedules, handling registrations, managing communications with speakers and attendees, arranging venues and accommodations, and ensuring that the conference runs smoothly. The Administrator plays a crucial role in ensuring that all elements of the conference are well-coordinated and executed efficiently.","Sure, here are the triples verbalized into spoken language phrases:

1. The action ""acceptPaper"" is performed by an Administrator.
2. The action ""acceptedBy"" involves an Administrator.
3. The action ""addProgramCommitteeMember"" is performed by an Administrator.
4. The action ""addedBy"" involves an Administrator.
5. The action ""assignReviewer"" is performed by an Administrator.
6. The action ""assignedByAdministrator"" involves an Administrator.
7. The action ""detailsEnteredBy"" involves an Administrator.
8. The action ""enableVirtualMeeting"" is performed by an Administrator.
9. The action ""enterConferenceDetails"" is performed by an Administrator.
10. The action ""enterReviewCriteria"" is performed by an Administrator.
11. The action ""finalizePaperAssignment"" is performed by an Administrator.
12. The action ""hardcopyMailingManifestsPrintedBy"" involves an Administrator.
13. The action ""paperAssignmentFinalizedBy"" involves an Administrator.
14. The action ""paperAssignmentToolsRunBy"" involves an Administrator.
15. The action ""printHardcopyMailingManifests"" is performed by an Administrator.
16. The action ""rejectPaper"" is performed by an Administrator.
17. The action ""rejectedBy"" involves an Administrator.
18. The action ""reviewCriteriaEnteredBy"" involves an Administrator.
19. The action ""reviewerBiddingStartedBy"" involves an Administrator.
20. The action ""runPaperAssignmentTools"" is performed by an Administrator.
21. The action ""setMaxPapers"" is performed by an Administrator.
22. The action ""startReviewerBidding"" is performed by an Administrator.
23. The action ""virtualMeetingEnabledBy"" involves an Administrator.
24. An Administrator is a subclass of User."
http://cmt#AssociatedChair,Source,Class,associated chair,"In the context of a conference, an ""Associated Chair"" typically refers to an individual who assists the main conference chair in organizing and managing the event. This role may involve responsibilities such as coordinating sessions, reviewing submissions, liaising with speakers and attendees, and ensuring the smooth operation of the conference. The Associated Chair supports the overall leadership and helps in executing various tasks to ensure the conference's success.","Sure, here are the triples verbalized into spoken language:

1. The class ""AssociatedChair"" is a subclass of ""ConferenceMember"".
2. The class ""AssociatedChair"" is disjoint with the class ""ConferenceChair"".
3. The class ""ConferenceChair"" is disjoint with the class ""AssociatedChair""."
http://cmt#Author,Source,Class,author,"In the context of a conference, an ""author"" typically refers to an individual who has written a paper, article, or study that is being presented or discussed at the event. This person is responsible for the research and content of the work and is often the primary presenter or speaker during sessions where their work is featured.","Sure, here are the triples verbalised into spoken language phrases:

1. ""AuthorNotReviewer"" is a subclass of ""Author"".
2. ""Co-author"" is a subclass of ""Author"".
3. The property ""hasAuthor"" has a range of ""Author"".
4. The property ""submitPaper"" has a domain of ""Author"".
5. The property ""writePaper"" has a domain of ""Author"".
6. ""Author"" is a subclass of ""ConferenceMember"" and ""User""."
http://cmt#AuthorNotReviewer,Source,Class,author not reviewer,"In the context of a conference, ""AuthorNotReviewer"" typically refers to a policy or rule that an individual who has submitted a paper (an author) is not allowed to review other papers submitted to the same conference. This is to avoid any potential conflicts of interest and to ensure the fairness and impartiality of the review process.","Sure, here are the triples verbalized into spoken language:

1. The class ""ProgramCommitteeMember"" is disjoint with the class ""AuthorNotReviewer"".
2. The class ""Reviewer"" is disjoint with the class ""AuthorNotReviewer"".
3. The class ""AuthorNotReviewer"" is a subclass of the class ""Author"".
4. The class ""AuthorNotReviewer"" is disjoint with the class ""ProgramCommitteeMember"".
5. The class ""AuthorNotReviewer"" is disjoint with the class ""Reviewer""."
http://cmt#Bid,Source,Class,bid,"In the context of a conference, a ""bid"" typically refers to a formal proposal submitted by a city, organization, or venue to host the event. This proposal usually includes details such as the location, facilities, accommodations, and other logistical aspects that make the bid competitive and appealing to the conference organizers. The goal of the bid is to convince the decision-makers that the proposed location is the best choice for the upcoming conference.","Sure, here are the triples verbalised into phrases using spoken language:

1. The range of ""adjustBid"" is ""Bid"".
2. The domain of ""adjustedBy"" is ""Bid"".
3. The range of ""hasBid"" is ""Bid"".
4. ""Conference"" is disjoint with ""Bid"".
5. ""Decision"" is disjoint with ""Bid"".
6. ""Document"" is disjoint with ""Bid"".
7. ""Person"" is disjoint with ""Bid"".
8. ""Preference"" is disjoint with ""Bid"".
9. ""ProgramCommittee"" is disjoint with ""Bid"".
10. ""Bid"" is disjoint with ""Conference"", ""Decision"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#Chairman,Source,Class,chairman,"In the context of a conference, the term ""Chairman"" refers to the person who presides over the meeting or session. This individual is responsible for guiding the discussion, ensuring the agenda is followed, managing time, and facilitating participation from attendees. The Chairman plays a crucial role in maintaining order and ensuring that the conference objectives are met efficiently.","The class ""Chairman"" is a subclass of the class ""Person""."
http://cmt#Co-author,Source,Class,co author,"In the context of a conference, a ""co-author"" refers to an individual who has collaborated with one or more other individuals to contribute to the creation of a research paper, presentation, or other scholarly work that is being presented at the conference. Co-authors share responsibility for the content and findings of the work and are typically listed as contributors in the publication or presentation materials.","Sure, here are the triples verbalised into spoken language phrases:

1. The property ""co-writePaper"" has a domain of ""Co-author"".
2. The property ""hasCo-author"" has a range of ""Co-author"".
3. The class ""Co-author"" is a subclass of ""Author""."
http://cmt#Conference,Source,Class,conference,"In the context of ""conference,"" the term generally refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative activities. Conferences can be held in various fields such as business, education, science, technology, and more, and they often include presentations, workshops, and panel discussions.","Sure, here are the triples verbalized into spoken language phrases:

1. The property ""acceptsHardcopySubmissions"" applies to the domain ""Conference"".
2. The property ""date"" applies to the domain ""Conference"".
3. The property ""detailsEnteredBy"" applies to the domain ""Conference"".
4. The property ""enableVirtualMeeting"" has a range of ""Conference"".
5. The property ""enterConferenceDetails"" has a range of ""Conference"".
6. The property ""enterReviewCriteria"" has a range of ""Conference"".
7. The property ""finalizePaperAssignment"" has a range of ""Conference"".
8. The property ""hardcopyMailingManifestsPrintedBy"" applies to the domain ""Conference"".
9. The property ""hasConferenceMember"" applies to the domain ""Conference"".
10. The property ""logoURL"" applies to the domain ""Conference"".
11. The property ""memberOfConference"" has a range of ""Conference"".
12. The property ""paperAssignmentFinalizedBy"" applies to the domain ""Conference"".
13. The property ""paperAssignmentToolsRunBy"" applies to the domain ""Conference"".
14. The property ""printHardcopyMailingManifests"" has a range of ""Conference"".
15. The property ""reviewCriteriaEnteredBy"" applies to the domain ""Conference"".
16. The property ""reviewerBiddingStartedBy"" applies to the domain ""Conference"".
17. The property ""reviewsPerPaper"" applies to the domain ""Conference"".
18. The property ""runPaperAssignmentTools"" has a range of ""Conference"".
19. The property ""siteURL"" applies to the domain ""Conference"".
20. The property ""startReviewerBidding"" has a range of ""Conference"".
21. The property ""virtualMeetingEnabledBy"" applies to the domain ""Conference"".
22. The class ""Bid"" is disjoint with the class ""Conference"".
23. The class ""Decision"" is disjoint with the class ""Conference"".
24. The class ""Document"" is disjoint with the class ""Conference"".
25. The class ""Person"" is disjoint with the class ""Conference"".
26. The class ""Preference"" is disjoint with the class ""Conference"".
27. The class ""ProgramCommittee"" is disjoint with the class ""Conference"".
28. The class ""Conference"" is disjoint with the classes ""Bid"", ""Decision"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#ConferenceChair,Source,Class,conference chair,"In the context of a conference, a ""Conference Chair"" refers to the individual who is responsible for overseeing and organizing the entire event. This person typically handles a wide range of tasks, including planning the conference agenda, coordinating with speakers and participants, managing logistics, and ensuring that the conference runs smoothly. The Conference Chair plays a crucial role in the success of the event, often working closely with committees and other stakeholders to deliver a well-organized and impactful conference.","Sure, here are the triples verbalized into spoken language:

1. ""AssociatedChair"" is disjoint with ""ConferenceChair"".
2. ""ConferenceChair"" is a subclass of ""ConferenceMember"".
3. ""ConferenceChair"" is disjoint with ""AssociatedChair""."
http://cmt#ConferenceMember,Source,Class,conference member,"In the context of a conference, a ""ConferenceMember"" refers to an individual who is a participant or attendee of the conference. This person may be involved in various activities such as attending sessions, presenting papers, participating in discussions, networking with other attendees, and contributing to the overall objectives of the conference. The term can encompass speakers, panelists, delegates, organizers, and other stakeholders who are part of the event.","Sure, here are the triples verbalized into spoken language phrases:

1. ""An Associated Chair is a subclass of a Conference Member.""
2. ""An Author is a subclass of a Conference Member.""
3. ""A Conference Chair is a subclass of a Conference Member.""
4. ""A Program Committee Member is a subclass of a Conference Member.""
5. ""A Reviewer is a subclass of a Conference Member.""
6. ""The property 'hasConferenceMember' has a range of Conference Member.""
7. ""The property 'memberOfConference' has a domain of Conference Member.""
8. ""A Conference Member is a subclass of a Person."""
http://cmt#Decision,Source,Class,decision,"In the context of a conference, a ""decision"" refers to a conclusion or resolution reached after discussion and deliberation among the participants. It often involves choosing a course of action or determining a stance on a particular issue that was addressed during the conference sessions. This decision is typically documented and may guide future actions or policies related to the topics discussed.","Sure, here are the triples verbalised into spoken language phrases:

1. ""Acceptance"" is a subclass of ""Decision"".
2. ""Rejection"" is a subclass of ""Decision"".
3. The property ""hasDecision"" has a range of ""Decision"".
4. ""Bid"" is disjoint with ""Decision"".
5. ""Conference"" is disjoint with ""Decision"".
6. ""Document"" is disjoint with ""Decision"".
7. ""Person"" is disjoint with ""Decision"".
8. ""Preference"" is disjoint with ""Decision"".
9. ""ProgramCommittee"" is disjoint with ""Decision"".
10. ""Decision"" is disjoint with ""Bid"", ""Conference"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#Document,Source,Class,document,"In the context of a conference, a ""document"" typically refers to any written or printed material that is used or distributed during the event. This can include agendas, schedules, presentation slides, handouts, research papers, reports, and any other relevant materials that support the discussions and activities taking place at the conference. These documents are often used to provide information, facilitate communication, and serve as a record of the proceedings.","Sure, here are the triples verbalised into phrases using spoken language:

1. A Paper is a subclass of a Document.
2. A Review is a subclass of a Document.
3. The property ""hasConflictOfInterest"" has a range of Document.
4. A Bid is disjoint with a Document.
5. A Conference is disjoint with a Document.
6. A Decision is disjoint with a Document.
7. A Person is disjoint with a Document.
8. A Preference is disjoint with a Document.
9. A Program Committee is disjoint with a Document.
10. A Document is disjoint with a Bid, a Conference, a Decision, a Person, a Preference, and a Program Committee."
