entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://codata.jp/OML-MaterialInformation#AISI1000SeriesSteel,Source,Class,ais i1000 series steel,"In materials science, ""AISI 1000 Series Steel"" refers to a classification of carbon steels defined by the American Iron and Steel Institute (AISI). The 1000 series specifically denotes plain carbon steels, which are primarily composed of iron and carbon, with minimal amounts of other alloying elements. The first digit '1' indicates that it is a carbon steel, and the subsequent digits (e.g., 010, 020, 030, etc.) represent the approximate carbon content in hundredths of a percent. For example, AISI 1040 steel contains approximately 0.40% carbon. These steels are widely used in various applications due to their good balance of strength, ductility, and cost-effectiveness.","The class ""AISI1000SeriesSteel"" is a subclass of the class ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI4000SeriesSteel,Source,Class,ais i4000 series steel,"In materials science, ""AISI 4000 Series Steel"" refers to a group of alloy steels designated by the American Iron and Steel Institute (AISI). These steels are characterized by the inclusion of elements such as chromium, molybdenum, and manganese, which enhance their mechanical properties and make them suitable for various applications. The 4000 series typically includes low-alloy steels that are known for their toughness, strength, and wear resistance. They are commonly used in the manufacturing of automotive components, machinery parts, and other applications where high strength and durability are required.","The class ""AISI4000SeriesSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI5000SeriesSteel,Source,Class,ais i5000 series steel,"In materials science, ""AISI 5000 Series Steel"" refers to a group of alloy steels designated by the American Iron and Steel Institute (AISI). The 5000 series typically includes low-alloy steels that are characterized by the addition of chromium and molybdenum as the primary alloying elements. These steels are known for their high strength, toughness, and resistance to wear and fatigue, making them suitable for applications such as automotive components, machinery parts, and structural elements. The specific properties and applications can vary depending on the exact composition and heat treatment of the steel within this series.","The class ""AISI5000SeriesSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI6000SeriesSteel,Source,Class,ais i6000 series steel,"In materials science, ""AISI 6000 Series Steel"" refers to a classification of steel defined by the American Iron and Steel Institute (AISI). The 6000 series typically denotes a group of alloy steels that are characterized by the presence of silicon and manganese as the primary alloying elements. These steels are known for their good combination of strength, toughness, and wear resistance, making them suitable for various industrial applications. The specific properties and applications can vary depending on the exact composition and heat treatment of the steel within this series.","The class ""AISI6000SeriesSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI8000SeriesSteel,Source,Class,ais i8000 series steel,"In materials science, the term ""AISI 8000 Series Steel"" refers to a classification of steel alloys designated by the American Iron and Steel Institute (AISI). The ""8000 series"" indicates a specific group of alloy steels that typically contain various combinations of elements to achieve desired mechanical properties and performance characteristics. These steels are often used in specialized applications where particular strength, toughness, or resistance to wear and corrosion is required. The exact composition and properties can vary within the series, but they are generally engineered to meet specific industrial needs.","The class ""AISI8000SeriesSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI9000SeriesSteel,Source,Class,ais i9000 series steel,"In materials science, ""AISI 9000 Series Steel"" refers to a classification of steel alloys designated by the American Iron and Steel Institute (AISI). The AISI 9000 series typically includes high-strength, low-alloy steels that are designed for specific applications requiring enhanced mechanical properties, such as increased strength, toughness, and resistance to wear and fatigue. These steels are often used in demanding environments and applications, such as in the automotive, aerospace, and construction industries. The specific composition and properties of each alloy within the 9000 series can vary, but they generally contain a combination of elements like carbon, manganese, silicon, and other alloying elements to achieve the desired performance characteristics.","The class ""AISI9000SeriesSteel"" is a subclass of the class ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#ASTMSteel,Source,Class,astm steel,"In the context of materials science, ""ASTM Steel"" refers to steel that meets the standards set by ASTM International, formerly known as the American Society for Testing and Materials. ASTM International is an organization that develops and publishes technical standards for a wide range of materials, products, systems, and services. When steel is designated as ""ASTM Steel,"" it means that the steel conforms to specific criteria regarding its composition, mechanical properties, and other relevant characteristics as defined by ASTM standards. These standards ensure consistency, quality, and reliability in the steel used for various applications.","""ASTMSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AbsorbedDoseRate,Source,Class,absorbed dose rate,"In the context of materials science, ""Absorbed Dose Rate"" refers to the amount of radiation energy absorbed per unit mass of a material per unit time. It is typically measured in units such as grays per second (Gy/s) or rads per second (rad/s). This parameter is crucial for understanding the effects of radiation on materials, as it helps in assessing the rate at which energy is deposited into the material, which can influence its structural integrity, chemical properties, and overall performance under radiation exposure.","The class ""AbsorbedDoseRate"" is a subclass of the class ""Compound""."
http://codata.jp/OML-MaterialInformation#Ac,Source,Class,ac,"In the context of materials science, ""Ac"" typically refers to ""Austenite critical temperature."" This is the temperature at which austenite begins to form during the heating of a steel or iron alloy. It is a critical point in the phase transformation of the material, marking the transition from one crystalline structure to another. The specific temperatures are often denoted as Ac1, Ac2, etc., indicating different critical points for various phase changes.","The class ""Ac"" is a subclass of the class ""Atom""."
http://codata.jp/OML-MaterialInformation#Acceleration,Source,Class,acceleration,"In the context of materials science, ""acceleration"" typically refers to the rate at which a material's properties or behaviors change over time under certain conditions. This can include the acceleration of processes such as corrosion, wear, or phase transformations. For example, accelerated testing methods might be used to predict the long-term durability of a material by subjecting it to more extreme conditions than it would normally encounter, thereby speeding up the aging process to observe potential failures or changes in properties.","The class ""Acceleration"" is a subclass of the class ""Compound""."
