Alignment,Precision,Recall,F1
mse/MaterialInformation-MatOnto/component/source,72.07,52.98,61.07
mse/MaterialInformation-MatOnto/component/target,71.88,83.77,77.37
mse/MaterialInformation-MatOnto/component/,88.64,51.66,65.27
mse/MaterialInformationReduced-MatOnto/component/source,57.14,17.39,26.67
mse/MaterialInformationReduced-MatOnto/component/target,28.57,17.39,21.62
mse/MaterialInformationReduced-MatOnto/component/,66.67,17.39,27.59
mse/MaterialInformation-EMMO/component/source,40.67,96.83,57.28
mse/MaterialInformation-EMMO/component/target,43.38,93.65,59.30
mse/MaterialInformation-EMMO/component/,81.08,95.24,87.59
conference/cmt-conference/component/source,23.53,53.33,32.65
conference/cmt-conference/component/target,23.08,60.00,33.33
conference/cmt-conference/component/,42.11,53.33,47.06
conference/cmt-confof/component/source,45.45,62.50,52.63
conference/cmt-confof/component/target,45.45,62.50,52.63
conference/cmt-confof/component/,53.85,43.75,48.28
conference/cmt-edas/component/source,45.83,84.62,59.46
conference/cmt-edas/component/target,27.27,69.23,39.13
conference/cmt-edas/component/,56.25,69.23,62.07
conference/cmt-ekaw/component/source,25.93,63.64,36.84
conference/cmt-ekaw/component/target,24.14,63.64,35.00
conference/cmt-ekaw/component/,46.15,54.55,50.00
conference/cmt-iasted/component/source,14.81,100.00,25.81
conference/cmt-iasted/component/target,14.81,100.00,25.81
conference/cmt-iasted/component/,28.57,100.00,44.44
conference/cmt-sigkdd/component/source,57.89,91.67,70.97
conference/cmt-sigkdd/component/target,60.00,100.00,75.00
conference/cmt-sigkdd/component/,78.57,91.67,84.62
conference/conference-confof/component/source,39.39,86.67,54.17
conference/conference-confof/component/target,41.38,80.00,54.55
conference/conference-confof/component/,57.89,73.33,64.71
conference/conference-confof/component/source,40.62,86.67,55.32
conference/conference-confof/component/target,41.94,86.67,56.52
conference/conference-confof/component/,60.00,80.00,68.57
conference/conference-edas/component/source,26.53,76.47,39.39
conference/conference-edas/component/target,23.53,70.59,35.29
conference/conference-edas/component/,36.67,64.71,46.81
conference/conference-ekaw/component/source,35.42,68.00,46.58
conference/conference-ekaw/component/target,32.79,80.00,46.51
conference/conference-ekaw/component/,57.14,64.00,60.38
conference/conference-iasted/component/source,32.14,64.29,42.86
conference/conference-iasted/component/target,21.21,50.00,29.79
conference/conference-iasted/component/,36.84,50.00,42.42
conference/conference-sigkdd/component/source,36.67,73.33,48.89
conference/conference-sigkdd/component/target,48.00,80.00,60.00
conference/conference-sigkdd/component/,62.50,66.67,64.52
conference/confof-edas/component/source,43.24,84.21,57.14
conference/confof-edas/component/target,34.04,84.21,48.48
conference/confof-edas/component/,55.17,84.21,66.67
conference/confof-ekaw/component/source,48.28,70.00,57.14
conference/confof-ekaw/component/target,48.57,85.00,61.82
conference/confof-ekaw/component/,73.68,70.00,71.79
conference/confof-iasted/component/source,33.33,77.78,46.67
conference/confof-iasted/component/target,20.69,66.67,31.58
conference/confof-iasted/component/,50.00,66.67,57.14
conference/confof-sigkdd/component/source,38.89,100.00,56.00
conference/confof-sigkdd/component/target,35.29,85.71,50.00
conference/confof-sigkdd/component/,54.55,85.71,66.67
conference/edas-ekaw/component/source,44.44,86.96,58.82
conference/edas-ekaw/component/target,42.22,82.61,55.88
conference/edas-ekaw/component/,62.07,78.26,69.23
conference/edas-iasted/component/source,24.00,63.16,34.78
conference/edas-iasted/component/target,25.49,68.42,37.14
conference/edas-iasted/component/,37.04,52.63,43.48
conference/edas-sigkdd/component/source,36.67,73.33,48.89
conference/edas-sigkdd/component/target,50.00,93.33,65.12
