Entity1,Entity2
source:Reviewer,target:Reviewer
source:Person,target:Person
source:Document,target:Document
source:Conference,target:Conference
source:ConferenceChair,target:ConferenceChair
source:ProgramCommitteeMember,target:TPCMember
source:SubjectArea,target:Topic
source:Acceptance,target:AcceptRating
source:Rejection,target:RejectedPaper
source:Review,target:Review
source:Paper,target:Paper
source:Author,target:Author
source:paperAssignmentFinalizedBy,target:manuscriptDueOn
source:hasConferenceMember,target:hasAttendee
source:memberOfConference,target:isMemberOf
source:writtenBy,target:isWrittenBy
source:name,target:hasName
source:date,target:startDate
source:email,target:hasEmail
