Entity2,Entity1
http://iasted#Accepting_manuscript,http://edas#AcceptedPaper
http://iasted#Activity_after_conference,http://edas#SocialEvent
http://iasted#Author,http://edas#Author
http://iasted#Coctail_reception,http://edas#SocialEvent
http://iasted#Coffee_break,http://edas#CoffeeBreak
http://iasted#Conference_building,http://edas#ConferenceVenuePlace
http://iasted#Conference_city,http://edas#Place
http://iasted#Conference_hall,http://edas#ConferenceVenuePlace
http://iasted#Delegate,http://edas#Person
http://iasted#Dinner_banquet,http://edas#ConferenceDinner
http://iasted#Document,http://edas#Document
http://iasted#Lecture,http://edas#TalkEvent
http://iasted#Lecturer,http://edas#Presenter
http://iasted#Person,http://edas#Person
http://iasted#Place,http://edas#Place
http://iasted#PowerPoint_presentation,http://edas#SlideSet
http://iasted#Publication,http://edas#PublishedPaper
http://iasted#Refusing_manuscript,http://edas#RejectedPaper
http://iasted#Review,http://edas#Review
http://iasted#Reviewer,http://edas#Reviewer
http://iasted#Session,http://edas#ConferenceSession
http://iasted#Session_chair,http://edas#SessionChair
http://iasted#Session_room,http://edas#MeetingRoomPlace
http://iasted#Speaker,http://edas#Presenter
http://iasted#Speaker_lecture,http://edas#Presenter
http://iasted#Tutorial_speaker,http://edas#Presenter
http://iasted#Welcome_address,http://edas#WelcomeTalk
http://iasted#is_paid_for,http://edas#hasCostAmount
http://iasted#is_situated_in,http://edas#hasLocation
