Entity1,Entity2
http://edas#Attendee,http://iasted#Person
http://edas#Author,http://iasted#Author
http://edas#CallForPapers,http://iasted#Submission
http://edas#CoffeeBreak,http://iasted#Coffee_break
http://edas#Conference,http://iasted#Conference_hall
http://edas#ConferenceDinner,http://iasted#Dinner_banquet
http://edas#ConferenceSession,http://iasted#Session
http://edas#Document,http://iasted#Document
http://edas#MealEvent,http://iasted#Dinner_banquet
http://edas#Paper,http://iasted#Publication
http://edas#PaperPresentation,http://iasted#Presentation
http://edas#Person,http://iasted#Person
http://edas#Place,http://iasted#Place
http://edas#Presenter,http://iasted#Presentation
http://edas#PublishedPaper,http://iasted#Publication
http://edas#RejectedPaper,http://iasted#Refusing_manuscript
http://edas#Review,http://iasted#Review
http://edas#ReviewForm,http://iasted#Form
http://edas#Reviewer,http://iasted#Reviewer
http://edas#SessionChair,http://iasted#Session_chair
http://edas#Sponsorship,http://iasted#Sponsor
http://edas#TalkEvent,http://iasted#Session
http://edas#WelcomeTalk,http://iasted#Introduction
http://edas#hasMember,http://iasted#is_present_in
http://edas#isWrittenBy,http://iasted#is_writen_by
